1 Тексареид Dr.Reddy's Жаропонижающее 1560,00(руб.) Рецептурный США
2 Ибупрофен ПрофитМед.СПБ Жаропонижающее 1985,00(руб.) Рецептурный Россия
3 Аспирикус Айпара-СПБ Жаропонижающее 1990,00(руб.) БАД Россия
4 Нурофенос Айпара-СПБ Обезболивающее 1988,00(руб.) Рецептурный Россия
5 Амигренин Айпара-СПБ Обезболивающее 1992,00(руб.) Рецептурный Россия
6 Йод Айпара-СПБ Обезболивающее 250,00 Рецептурный Россия
7 Утрожеста ПрофитМед.СПБ Обезболивающее 1970,00(руб.) Рецептурный Россия
8 Гонадотро ПрофитМед.СПБ Обезболивающее 1985,00(руб.) Рецептурный Россия
9 Гемоглоби ПрофитМед.СПБ Обезболивающее 1989,00(руб.) Рецептурный Россия
10 Витаминт ПрофитМед.СПБ Обезболивающее 1970,00(руб.) Рецептурный Россия
11 Тиоксинт ПрофитМед.СПБ Обезболивающее 1985,00(руб.) Рецептурный Россия
12 Иодттттт ПрофитМед.СПБ Обезболивающее 1989,00(руб.) Рецептурный Россия
